0,1,2,3,4,5
Social,English,SecondLang,ThirdLang,Maths,Science
SecondLang,Maths,Science,Social,English,ThirdLang
Maths,Social,SecondLang,ThirdLang,Science,English
English,Science,ThirdLang,Social,SecondLang,Maths
ThirdLang,English,Maths,Science,Social,SecondLang
SecondLang,Science,Social,English,Maths,ThirdLang
